"Pickup Store Info and Status","Pickup Store Info and Status"
Back,Back
"Delete Holiday","Delete Holiday"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Holiday","Save Holiday"
"Delete Stores","Delete Stores"
"Save Stores","Save Stores"
"is scheduled for pickup","is scheduled for pickup"
"Pickup Order Scheduled","Pickup Order Scheduled"
"is re-scheduled for pickup","is re-scheduled for pickup"
"Pickup Order Re-scheduled","Pickup Order Re-scheduled"
"Order %1","Order %1"
"Unable to scheduled.","Unable to scheduled."
"Pickup Stores Orders","Pickup Stores Orders"
Webkul,Webkul
Stores,Stores
"You deleted the Stores.","You deleted the Stores."
"We can't find a Stores to delete.","We can't find a Stores to delete."
"This Stores no longer exists.","This Stores no longer exists."
"Edit Stores","Edit Stores"
"New Stores","New Stores"
"Edit Store (%1)","Edit Store (%1)"
"New Store","New Store"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 store(s) have been deleted.","A total of %1 store(s) have been deleted."
"Selected store(s) are already disabled.","Selected store(s) are already disabled."
"No store(s) are found enabled.","No store(s) are found enabled."
"A total of %1 store(s) have been disabled.","A total of %1 store(s) have been disabled."
"You are trying to disable, %1 already disabled store(s) which can't be disable again.","You are trying to disable, %1 already disabled store(s) which can't be disable again."
"Selected store(s) are already enabled.","Selected store(s) are already enabled."
"No store(s) are found disabled.","No store(s) are found disabled."
"A total of %1 store(s) have been enabled.","A total of %1 store(s) have been enabled."
"You are trying to enable, %1 already enabled store(s) which can't be enable again.","You are trying to enable, %1 already enabled store(s) which can't be enable again."
"You saved the Stores.","You saved the Stores."
"Something went wrong while saving the Stores.","Something went wrong while saving the Stores."
Holiday,Holiday
"You deleted the Holiday.","You deleted the Holiday."
"We can't find a Holiday to delete.","We can't find a Holiday to delete."
"This Holiday no longer exists.","This Holiday no longer exists."
"Edit Holiday","Edit Holiday"
"New Holiday","New Holiday"
Holidays,Holidays
"You saved the Holiday.","You saved the Holiday."
"Something went wrong while saving the Holiday.","Something went wrong while saving the Holiday."
m,m
Km,Km
"Open Now","Open Now"
"Closed Now","Closed Now"
